UNI 01	Fp1	-0.308344741	0.948987532	0.065925598
UNI 02	Fpz	0	0.995852701	0.090980204
UNI 03	Fp2	0.308344741	0.948987532	0.065925598
UNI 04	F7	-0.808693636	0.587550319	0.028270567
UNI 05	F3	-0.529223573	0.653536686	0.541121252
UNI 06	Fz	0	0.670685577	0.741741773
UNI 07	F4	0.529223573	0.653536686	0.541121252
UNI 08	F8	0.808693636	0.587550319	0.028270567
UNI 09	FC5	-0.870163347	0.334024413	0.362275367
UNI 10	FC1	-0.354194472	0.354194472	0.86550133
UNI 11	FC2	0.354194472	0.354194472	0.86550133
UNI 12	FC6	0.870163347	0.334024413	0.362275367
UNI 13	M1	-0.984807753	-0.173648178	0
UNI 14	T7	-1	6.12323E-17	0
UNI 15	C3	-0.700411151	4.28878E-17	0.713739602
UNI 16	Cz	0	6.12323E-17	1
UNI 17	C4	0.700411151	4.28878E-17	0.713739602
UNI 18	T8	1	6.12323E-17	0
UNI 19	M2	0.984807753	-0.173648178	0
UNI 20	CP5	-0.870163347	-0.334024413	0.362275367
UNI 21	CP1	-0.349846073	-0.362276213	0.863923417
UNI 22	CP2	0.349846073	-0.362276213	0.863923417
UNI 23	CP6	0.870163347	-0.334024413	0.362275367
UNI 24	P7	-0.808693636	-0.587550319	0.028270567
UNI 25	P3	-0.532409523	-0.657471006	0.533171621
UNI 26	Pz	8.3552E-17	-0.682253609	0.731115595
UNI 27	P4	0.532409523	-0.657471006	0.533171621
UNI 28	P8	0.808693636	-0.587550319	0.028270567
UNI 29	POz	1.09117E-16	-0.891006524	0.4539905
UNI 30	O1	-0.190503997	-0.980058102	0.056518534
UNI 31	Oz	1.21991E-16	-0.996133609	0.087851197
UNI 32	O2	0.190503997	-0.980058102	0.056518534
UNI 33	AF7	-0.585176641	0.805426548	0.094108313
UNI 34	AF3	-0.369665	0.870876165	0.323917418
UNI 35	AF4	0.369665	0.870876165	0.323917418
UNI 36	AF8	0.585176641	0.805426548	0.094108313
UNI 37	F5	-0.731468678	0.613775098	0.297041582
UNI 38	F1	-0.283144535	0.667046723	0.689113808
UNI 39	F2	0.283144535	0.667046723	0.689113808
UNI 40	F6	0.731468678	0.613775098	0.297041582
UNI 41	FC3	-0.654919113	0.348226669	0.670685577
UNI 42	FCz	0	0.362275367	0.932071112
UNI 43	FC4	0.654919113	0.348226669	0.670685577
UNI 44	C5	-0.920231847	5.63479E-17	0.391373667
UNI 45	C1	-0.382683432	2.34326E-17	0.923879533
UNI 46	C2	0.382683432	2.34326E-17	0.923879533
UNI 47	C6	0.920231847	5.63479E-17	0.391373667
UNI 48	CP3	-0.656776267	-0.349214136	0.66835202
UNI 49	CPz	4.43659E-17	-0.362275367	0.932071112
UNI 50	CP4	0.656776267	-0.349214136	0.66835202
UNI 51	P5	-0.719937582	-0.625832192	0.300039906
UNI 52	P1	-0.283989036	-0.669036243	0.686833847
UNI 53	P2	0.283989036	-0.669036243	0.686833847
UNI 54	P6	0.719937582	-0.625832192	0.300039906
UNI 55	PO5	-0.490238812	-0.84911853	0.196630695
UNI 56	PO3	-0.354409813	-0.87719507	0.323917418
UNI 57	PO4	0.354409813	-0.87719507	0.323917418
UNI 58	PO6	0.490238812	-0.84911853	0.196630695
UNI 59	FT7	-0.950981425	0.308992596	0.01256604
UNI 60	FT8	0.950981425	0.308992596	0.01256604
UNI 61	TP7	-0.945443921	-0.325542449	0.01256604
UNI 62	TP8	0.945443921	-0.325542449	0.01256604
UNI 63	PO7	-0.573233982	-0.818662968	0.034550641
UNI 64	PO8	0.573233982	-0.818662968	0.034550641
